shot,status,reason,n_samples,n_windows,duration_ms,k_in_mean,k_in_std,k_in_max,k_in_min,n_events,event_severity_max,B_mean,S_mean,R_mean,D_mean,I_mean
84592,ok,48ch_prm,2411097,100,100.554,0.214139,0.068087,0.324719,0.003191,4,2740.7970023828834,0.515276,0.79871,0.579869,0.002819,0.4912
84599,ok,7ch_prm,17938154,3103,3103.767,0.123251,0.080589,0.249541,0.0,13,3060.595545583245,0.345556,0.715714,0.471815,0.000535,0.595974
84610,ok,60ch_prm,1164024,17,17.879,0.324811,0.142884,0.502917,0.0,1,6.401088657408207,0.572196,0.869657,0.686654,0.015972,0.458852
84616,ok,32ch_prm,1247102,57,57.226,0.240416,0.124735,0.429395,0.0,5,127.45636547462037,0.420179,0.600611,0.498585,0.005207,0.547497
84632,ok,48ch_prm,2284668,79,79.337,0.237213,0.069846,0.357534,0.097646,2,3808.567746258296,0.512364,0.831158,0.544589,0.004001,0.544433
84650,ok,48ch_prm,2356488,67,67.291,0.263486,0.078902,0.385731,0.11161,0,0.0,0.538044,0.820943,0.534444,0.004644,0.548215
84676,ok,7ch_prm,13899692,3087,3087.848,0.122344,0.087242,0.235135,0.0,9,3911.336699186098,0.360812,0.714173,0.338592,0.000358,0.677686
84678,ok,32ch_prm,1065291,44,44.632,0.184883,0.096763,0.337752,0.0,2,62.963301938510185,0.392646,0.597812,0.544628,0.002955,0.526516
84713,ok,80ch_prm,1670848,19,19.707,0.142643,0.044114,0.257518,0.001516,0,0.0,0.365652,0.064631,0.456058,0.001693,0.566525
84729,ok,48ch_prm,939226,18,18.916,0.140118,0.050076,0.317723,0.053435,0,0.0,0.501407,0.086529,0.542537,0.004188,0.509857
84732,ok,7ch_prm,950412,186,186.365,0.114333,0.059481,0.222568,0.032851,8,17.437147673859965,0.048711,0.254353,0.275332,0.003091,0.724819
84748,ok,32ch_prm,620417,19,19.646,0.109258,0.053989,0.251051,0.0,0,0.0,0.256906,0.013111,0.376161,0.004445,0.632217
84755,ok,59ch_prm,120279,10,1.914,0.382995,0.141419,0.514507,0.001113,1,15.101859866642393,0.671483,0.817219,0.584512,0.028757,0.486115
84756,ok,80ch_prm,1762244,21,21.078,0.143075,0.048683,0.282314,0.062924,0,0.0,0.349233,0.062499,0.446268,0.001762,0.576254
84757,ok,80ch_prm,1762610,20,20.897,0.144323,0.048966,0.278254,0.058626,1,0.9435841244955323,0.342229,0.059415,0.436965,0.001881,0.584123
84761,ok,7ch_prm,16543,10,3.061,0.074256,0.025412,0.121384,0.039058,1,15.427298463115635,0.007367,0.056755,0.241519,0.005857,0.758484
84763,ok,28ch_prm,270839,12,12.327,0.082518,0.034521,0.151857,0.024457,1,15.153480623275959,0.010483,0.063789,0.242901,0.005704,0.757105
